X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.24735431,44.93682276,0036XX CEDAR AVE S,MP202037234         ,3,2020/02/10 00:00:00+00,1913,2020/02/10 00:00:00+00,2020/02/10 19:13:00+00,730,AUTOTH  ,AUTOMOBILE THEFT              ,8,2020/02/10 00:00:00+00,20675,-93.24735478,44.93682742,-10380248,5611581,Standish,2020/02/10 00:00:00+00,2020/07/15 07:00:22+00,6589
-93.27354919,44.98694832,,MP2020700747        ,1,2020/02/07 00:00:00+00,1156,2020/01/26 00:00:00+00,2020/02/07 11:56:00+00,110,TFMV    ,THEFT FROM MOTR VEHC          ,7,2020/02/08 00:00:00+00,,-93.27356,44.98695,-10383164,5619467,North Loop,2020/02/11 00:00:00+00,2020/07/15 07:00:22+00,6590
-93.27616328,44.99434331,0014XX WEST RIVER RD N,MP2020700762        ,4,2020/02/08 00:00:00+00,2025,2020/02/08 00:00:00+00,2020/02/08 20:25:00+00,1745,THEFT   ,OTHER THEFT                   ,7,2020/02/10 00:00:00+00,21114,-93.27616625,44.99434886,-10383455,5620631,Near - North,2020/02/10 00:00:00+00,2020/07/15 07:00:22+00,6591
-93.27429479,44.98077874,0001XX 5TH ST N,MP2020700763        ,1,2020/02/09 00:00:00+00,328,2020/02/09 00:00:00+00,2020/02/09 03:28:00+00,230,THEFT   ,OTHER THEFT                   ,7,2020/02/10 00:00:00+00,17874,-93.27429567,44.98078144,-10383247,5618496,Downtown West,2020/02/10 00:00:00+00,2020/07/15 07:00:22+00,6592
-93.28803901,44.95463805,0026XX LYNDALE AVE S,MP2020700765        ,5,2020/02/08 00:00:00+00,937,2020/02/07 00:00:00+00,2020/02/08 09:37:00+00,1800,TFMV    ,THEFT FROM MOTR VEHC          ,7,2020/02/10 00:00:00+00,16678,-93.28804768,44.95463813,-10384777,5614383,Lowry Hill East,2020/02/10 00:00:00+00,2020/07/15 07:00:22+00,6593
-93.29837862,44.93859691,0035XX HENNEPIN AVE ,MP2020700766        ,5,2020/02/09 00:00:00+00,1805,2020/02/09 00:00:00+00,2020/02/09 18:05:00+00,335,TFMV    ,THEFT FROM MOTR VEHC          ,7,2020/02/10 00:00:00+00,11756,-93.29838599,44.9386021,-10385928,5611860,ECCO,2020/02/10 00:00:00+00,2020/07/15 07:00:22+00,6594
-93.20874472,44.94594727,0031XX 45TH AVE S,MP2020700767        ,3,2020/02/09 00:00:00+00,1839,2020/02/07 00:00:00+00,2020/02/09 18:39:00+00,1800,TMVP    ,THEFT-MOTR VEH PARTS          ,7,2020/02/10 00:00:00+00,11093,-93.20875099,44.94595271,-10375950,5613016,Cooper,2020/02/10 00:00:00+00,2020/07/15 07:00:22+00,6595
-93.23459824,44.98196061,0005XX 14TH AVE SE,MP2020700771        ,2,2020/02/09 00:00:00+00,1539,2020/02/05 00:00:00+00,2020/02/09 15:39:00+00,1535,THEFT   ,OTHER THEFT                   ,7,2020/02/10 00:00:00+00,16638,-93.23460561,44.981964,-10378828,5618682,MARCY-HOLMES,2020/02/10 00:00:00+00,2020/07/15 07:00:22+00,6596
-93.29827082,44.94880831,0029XX HENNEPIN AVE ,MP2020700773        ,5,2020/02/10 00:00:00+00,844,2020/02/09 00:00:00+00,2020/02/10 08:44:00+00,1619,THFTSW  ,THEFT BY SWINDLE              ,7,2020/02/10 00:00:00+00,17660,-93.29827927,44.94881103,-10385916,5613466,Lowry Hill East,2020/02/10 00:00:00+00,2020/07/15 07:00:22+00,6597
-93.28833546,44.89331039,0060XX LYNDALE AVE S,MP2020700777        ,5,2020/02/09 00:00:00+00,1220,2020/02/08 00:00:00+00,2020/02/09 12:20:00+00,130,TFMV    ,THEFT FROM MOTR VEHC          ,7,2020/02/10 00:00:00+00,21972,-93.28834196,44.89331211,-10384810,5604741,Windom,2020/02/10 00:00:00+00,2020/07/15 07:00:22+00,6598
