X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.27970265,44.94383,0032XX BLAISDELL AVE ,MP202068067         ,5,2020/03/13 00:00:00+00,2333,2020/03/13 00:00:00+00,2020/03/13 23:33:00+00,2055,THEFT   ,OTHER THEFT                   ,7,2020/03/17 00:00:00+00,14077,-93.27970619,44.94383061,-10383849,5612683,Lyndale,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,1
-93.28882055,44.96495465,0019XX HENNEPIN AVE ,MP2020701518        ,5,2020/03/20 00:00:00+00,1020,2020/03/11 00:00:00+00,2020/03/20 10:20:00+00,502,TMVP    ,THEFT-MOTR VEH PARTS          ,7,2020/03/21 00:00:00+00,21641,-93.28882483,44.96495655,-10384864,5616006,Lowry Hill East,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,2
-93.24985163,44.92241771,0044XX 17TH AVE S,MP2020701520        ,3,2020/03/20 00:00:00+00,1146,2020/03/18 00:00:00+00,2020/03/20 11:46:00+00,1730,TMVP    ,THEFT-MOTR VEH PARTS          ,7,2020/03/21 00:00:00+00,19468,-93.24985738,44.92241821,-10380526,5609316,Northrop,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,3
-93.28134656,44.96772577,0002XX 15TH ST W,MP2020701521        ,1,2020/03/20 00:00:00+00,1242,2020/03/19 00:00:00+00,2020/03/20 12:42:00+00,1,TFMV    ,THEFT FROM MOTR VEHC          ,7,2020/03/21 00:00:00+00,15054,-93.28135089,44.96772584,-10384032,5616442,Loring Park,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,4
-93.26521282,44.90977772,0051XX PARK AVE ,MP2020701522        ,3,2020/03/20 00:00:00+00,1249,2020/03/19 00:00:00+00,2020/03/20 12:49:00+00,2000,TMVP    ,THEFT-MOTR VEH PARTS          ,7,2020/03/21 00:00:00+00,18637,-93.26521428,44.90978011,-10382236,5607329,Page,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,5
-93.29592622,44.91504525,0048XX FREMONT AVE S,MP2020701523        ,5,2020/03/20 00:00:00+00,1335,2020/03/18 00:00:00+00,2020/03/20 13:35:00+00,1700,TMVP    ,THEFT-MOTR VEH PARTS          ,7,2020/03/21 00:00:00+00,20532,-93.29593189,44.91504642,-10385655,5608157,Lynnhurst,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,6
-93.27012661,45.01769734,0027XX GRAND ST NE,MP2020701524        ,2,2020/03/20 00:00:00+00,1411,2020/03/18 00:00:00+00,2020/03/20 14:11:00+00,2100,TMVP    ,THEFT-MOTR VEH PARTS          ,7,2020/03/21 00:00:00+00,11077,-93.27013462,45.01770235,-10382783,5624308,Marshall Terrace,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,7
-93.26255381,44.96269825,,MP2020701526        ,3,2020/03/20 00:00:00+00,1700,2020/03/17 00:00:00+00,2020/03/20 17:00:00+00,2230,THEFT   ,OTHER THEFT                   ,7,2020/03/21 00:00:00+00,,-93.26255,44.9627,-10381940,5615651,Ventura Village,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,8
-93.27810365,44.89492679,0059XX NICOLLET AVE ,MP2020701527        ,5,2020/03/20 00:00:00+00,1729,2020/03/20 00:00:00+00,2020/03/20 17:29:00+00,1500,THEFT   ,OTHER THEFT                   ,7,2020/03/21 00:00:00+00,13304,-93.2781055,44.8949328,-10383671,5604995,Windom,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,9
-93.27316291,44.9799654,00002X 5TH ST N,MP2020701528        ,1,2020/03/21 00:00:00+00,22,2020/03/14 00:00:00+00,2020/03/21 00:22:00+00,2300,THEFT   ,OTHER THEFT                   ,7,2020/03/21 00:00:00+00,16701,-93.27316614,44.97996756,-10383121,5618368,Downtown West,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,10
-93.22839986,44.98782509,0016XX COMO AVE SE,MP202070736         ,2,2020/03/16 00:00:00+00,2316,2020/03/16 00:00:00+00,2020/03/16 23:16:00+00,1645,AUTOTH  ,AUTOMOBILE THEFT              ,8,2020/03/19 00:00:00+00,16183,-93.22840183,44.98783094,-10378138,5619605,Como,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,11
-93.29474044,44.97289266,,MP202074291         ,4,2020/03/20 00:00:00+00,1134,2020/03/20 00:00:00+00,2020/03/20 11:34:00+00,1020,THEFT   ,OTHER THEFT                   ,7,2020/03/20 00:00:00+00,,-93.29474,44.97289,-10385523,5617255,Lowry Hill,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,12
-93.23458027,45.01592563,0026XX HAYES ST NE,MP202074296         ,2,2020/03/20 00:00:00+00,1242,2020/03/20 00:00:00+00,2020/03/20 12:42:00+00,0,TMVP    ,THEFT-MOTR VEH PARTS          ,7,2020/03/21 00:00:00+00,20933,-93.23458752,45.01592822,-10378826,5624029,Audubon Park,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,13
-93.2646379,45.0105721,0022XX 3RD ST NE,MP202074352         ,2,2020/03/20 00:00:00+00,1429,2020/03/18 00:00:00+00,2020/03/20 14:29:00+00,1600,BURGD   ,BURGLARY OF DWELLING          ,6,2020/03/21 00:00:00+00,11432,-93.26464326,45.01057634,-10382172,5623186,Bottineau,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,14
-93.26284127,44.97159622,0007XX 8TH ST S,MP202074539         ,1,2020/03/20 00:00:00+00,1649,2020/03/15 00:00:00+00,2020/03/20 16:49:00+00,1400,THEFT   ,OTHER THEFT                   ,7,2020/03/21 00:00:00+00,18922,-93.26284852,44.97159658,-10381972,5617051,Elliot Park,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,15
-93.23520011,44.98349191,0006XX 13TH AVE SE,MP202074556         ,2,2020/03/20 00:00:00+00,1706,2020/03/19 00:00:00+00,2020/03/20 17:06:00+00,1800,THEFT   ,OTHER THEFT                   ,7,2020/03/21 00:00:00+00,16595,-93.23520601,44.98349213,-10378895,5618923,MARCY-HOLMES,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,16
-93.28826359,44.92952211,0040XX LYNDALE AVE S,MP202074604         ,5,2020/03/20 00:00:00+00,2102,2020/03/20 00:00:00+00,2020/03/20 21:02:00+00,1700,THEFT   ,OTHER THEFT                   ,7,2020/03/21 00:00:00+00,19257,-93.28827012,44.92952741,-10384802,5610433,King Field,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,17
-93.30063339,45.01050859,0029XX JAMES AVE N,MP202074630         ,4,2020/03/20 00:00:00+00,2047,2020/03/20 00:00:00+00,2020/03/20 20:47:00+00,1715,BURGD   ,BURGLARY OF DWELLING          ,6,2020/03/21 00:00:00+00,18456,-93.30064121,45.01051154,-10386179,5623176,Jordan,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,18
-93.24439886,44.96274275,,MP202074659         ,3,2020/03/20 00:00:00+00,1805,2020/03/20 00:00:00+00,2020/03/20 18:05:00+00,430,ROBPAG  ,ROBBERY PER AGG               ,4,2020/03/20 00:00:00+00,,-93.2444,44.96275,-10379919,5615658,Seward,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,19
-93.29683352,45.00866045,0027XX GIRARD AVE N,MP202074661         ,4,2020/03/21 00:00:00+00,16,2020/03/20 00:00:00+00,2020/03/21 00:16:00+00,1500,AUTOTH  ,AUTOMOBILE THEFT              ,8,2020/03/21 00:00:00+00,10669,-93.29683819,45.00866206,-10385756,5622885,Jordan,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,20
-93.30823314,45.01235031,0031XX PENN AVE N,MP202074667         ,4,2020/03/20 00:00:00+00,2028,2020/03/20 00:00:00+00,2020/03/20 20:28:00+00,1806,AUTOTH  ,AUTOMOBILE THEFT              ,8,2020/03/21 00:00:00+00,10716,-93.30823595,45.01235203,-10387025,5623466,Jordan,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,21
-93.2780228,44.91164813,0050XX NICOLLET AVE ,MP202074696         ,5,2020/03/20 00:00:00+00,1842,2020/03/20 00:00:00+00,2020/03/20 18:42:00+00,1300,AUTOTH  ,AUTOMOBILE THEFT              ,8,2020/03/21 00:00:00+00,20492,-93.27802631,44.91165036,-10383662,5607623,Tangletown,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,22
-93.28099622,44.89148394,00007X WENTWORTH CT W,MP202074707         ,5,2020/03/20 00:00:00+00,2138,2020/03/20 00:00:00+00,2020/03/20 21:38:00+00,1840,DASTR   ,DOMESTIC ASSAULT/STRANGULATION,5,2020/03/21 00:00:00+00,18221,-93.28100136,44.89148926,-10383993,5604454,Windom,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,23
-93.28539797,45.02849146,0040XX WASHINGTON AVE N,MP202074712         ,4,2020/03/20 00:00:00+00,1855,2020/03/18 00:00:00+00,2020/03/20 18:55:00+00,2000,TFMV    ,THEFT FROM MOTR VEHC          ,7,2020/03/21 00:00:00+00,23149,-93.28540068,45.02849153,-10384483,5626008,WEBBER-CAMDEN,2020/03/23 00:00:00+00,2020/07/15 07:00:22+00,24
-93.22427659,44.96904137,0006XX ERIE ST SE,MP202074728         ,2,2020/03/20 00:00:00+00,1938,2020/03/19 00:00:00+00,2020/03/20 19:38:00+00,1900,AUTOTH  ,AUTOMOBILE THEFT              ,8,2020/03/21 00:00:00+00,13622,-93.22428385,44.96904377,-10377679,5616649,PROSPECT PK/E RIVER RD,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,25
-93.2870329,44.92047768,0045XX GARFIELD AVE ,MP202074744         ,5,2020/03/21 00:00:00+00,16,2020/03/20 00:00:00+00,2020/03/21 00:16:00+00,1925,TMVP    ,THEFT-MOTR VEH PARTS          ,7,2020/03/21 00:00:00+00,18476,-93.28703869,44.92048292,-10384665,5609011,King Field,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,26
-93.22357591,44.98419719,0021XX ELM ST SE,MP202074775         ,2,2020/03/21 00:00:00+00,316,2020/03/20 00:00:00+00,2020/03/21 03:16:00+00,1500,TMVP    ,THEFT-MOTR VEH PARTS          ,7,2020/03/21 00:00:00+00,17572,-93.22358115,44.98419743,-10377601,5619034,Como,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,27
-93.21921908,44.92058581,0045XX HIAWATHA AVE ,MP202074831         ,3,2020/03/21 00:00:00+00,34,2020/03/20 00:00:00+00,2020/03/21 00:34:00+00,2114,AUTOTH  ,AUTOMOBILE THEFT              ,8,2020/03/21 00:00:00+00,21628,-93.21921931,44.92059183,-10377116,5609028,Hiawatha,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,28
-93.26012836,44.97699788,0006XX 3RD ST S,MP202074857         ,1,2020/03/20 00:00:00+00,2249,2020/03/20 00:00:00+00,2020/03/20 22:49:00+00,2126,ASLT2   ,ASSLT W/DNGRS WEAPON          ,5,2020/03/21 00:00:00+00,16839,-93.26013598,44.97700051,-10381670,5617901,Downtown East,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,29
-93.28935055,44.95003534,,MP202074864         ,5,2020/03/21 00:00:00+00,337,2020/03/18 00:00:00+00,2020/03/21 03:37:00+00,2200,TFMV    ,THEFT FROM MOTR VEHC          ,7,2020/03/21 00:00:00+00,,-93.28935,44.95004,-10384923,5613659,Lowry Hill East,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,30
-93.25243878,44.95463805,0026XX BLOOMINGTON AVE ,MP202074865         ,3,2020/03/21 00:00:00+00,509,2020/03/20 00:00:00+00,2020/03/21 05:09:00+00,1300,TMVP    ,THEFT-MOTR VEH PARTS          ,7,2020/03/21 00:00:00+00,16446,-93.25244421,44.95464095,-10380814,5614383,Midtown Phillips,2020/03/22 00:00:00+00,2020/07/15 07:00:22+00,31
-93.24131763,44.94836963,0021XX LAKE ST E,MP202074891         ,3,2020/03/20 00:00:00+00,2145,2020/03/20 00:00:00+00,2020/03/20 21:45:00+00,2145,THEFT   ,OTHER THEFT                   ,7,2020/03/22 00:00:00+00,21927,-93.2413201,44.94837153,-10379576,5613397,East Phillips,2020/03/22 00:00:00+00,2020/07/15 07:00:22+00,32
-93.29810913,45.01587483,0033XX HUMBOLDT AVE N,MP202074960         ,4,2020/03/21 00:00:00+00,51,2020/03/20 00:00:00+00,2020/03/21 00:51:00+00,2327,BURGD   ,BURGLARY OF DWELLING          ,6,2020/03/21 00:00:00+00,18760,-93.29811084,45.01587829,-10385898,5624021,Folwell,2020/03/24 00:00:00+00,2020/07/15 07:00:22+00,33
-93.32612758,44.96226603,0020XX DREW AVE S,MP202074974         ,4,2020/03/21 00:00:00+00,53,2020/03/20 00:00:00+00,2020/03/21 00:53:00+00,2300,AUTOTH  ,AUTOMOBILE THEFT              ,8,2020/03/21 00:00:00+00,15128,-93.32613024,44.96226605,-10389017,5615583,BRYN MAWR,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,34
-93.25054333,44.95374169,0016XX 27TH ST E,MP202074994         ,3,2020/03/21 00:00:00+00,102,2020/02/23 00:00:00+00,2020/03/21 01:02:00+00,10,ROBPAG  ,ROBBERY PER AGG               ,4,2020/03/21 00:00:00+00,22831,-93.2505519,44.95374591,-10380603,5614242,East Phillips,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,35
-93.28131961,44.95283897,0027XX PILLSBURY AVE ,MP202075011         ,5,2020/03/21 00:00:00+00,215,2020/03/21 00:00:00+00,2020/03/21 02:15:00+00,41,DASLT2  ,2ND DEG DOMES ASLT            ,5,2020/03/21 00:00:00+00,14847,-93.28132162,44.95284396,-10384029,5614100,Whittier,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,36
-93.2472555,44.96449067,0008XX CEDAR AVE S,MP202075019         ,3,2020/03/21 00:00:00+00,127,2020/03/21 00:00:00+00,2020/03/21 01:27:00+00,53,AUTOTH  ,AUTOMOBILE THEFT              ,8,2020/03/21 00:00:00+00,17446,-93.24726143,44.96449404,-10380237,5615933,Seward,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,37
-93.23514621,44.94836963,0025XX LAKE ST E,MP202075048         ,3,2020/03/21 00:00:00+00,231,2020/03/21 00:00:00+00,2020/03/21 02:31:00+00,141,ROBPAG  ,ROBBERY PER AGG               ,4,2020/03/21 00:00:00+00,19097,-93.23514707,44.94837171,-10378889,5613397,Longfellow,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,38
-93.29321331,45.0315198,,MP202075116         ,4,2020/03/21 00:00:00+00,657,2020/03/21 00:00:00+00,2020/03/21 06:57:00+00,300,ASLT2   ,ASSLT W/DNGRS WEAPON          ,5,2020/03/22 00:00:00+00,,-93.29322,45.03153,-10385353,5626485,WEBBER-CAMDEN,2020/03/23 00:00:00+00,2020/07/15 07:00:22+00,39
-93.29583639,44.95680577,0025XX HENNEPIN AVE ,MP202075162         ,5,2020/03/21 00:00:00+00,849,2020/03/21 00:00:00+00,2020/03/21 08:49:00+00,700,SHOPLF  ,SHOPLIFTING                   ,7,2020/03/21 00:00:00+00,14461,-93.29584001,44.95680675,-10385645,5614724,Lowry Hill East,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,40
-93.29399484,45.04116879,0047XX DUPONT AVE N,MP202075199         ,4,2020/03/21 00:00:00+00,1208,2020/03/21 00:00:00+00,2020/03/21 12:08:00+00,130,ASLT3   ,ASLT-SGNFCNT BDLY HM          ,5,2020/03/22 00:00:00+00,10049,-93.29399674,45.04116887,-10385440,5628005,LIND-BOHANON,2020/03/22 00:00:00+00,2020/07/15 07:00:22+00,41
-93.29739047,44.95419941,0026XX HENNEPIN AVE ,MP202075264         ,5,2020/03/21 00:00:00+00,1148,2020/03/21 00:00:00+00,2020/03/21 11:48:00+00,1103,TFPER   ,THEFT FROM PERSON SNATCH/GRAB ,7,2020/03/21 00:00:00+00,17300,-93.29739573,44.954203,-10385818,5614314,East Isles,2020/03/31 00:00:00+00,2020/07/15 07:00:22+00,42
-93.3110808,44.98209404,0004XX RUSSELL AVE N,MP202075273         ,4,2020/03/21 00:00:00+00,1145,2020/03/20 00:00:00+00,2020/03/21 11:45:00+00,1800,AUTOTH  ,AUTOMOBILE THEFT              ,8,2020/03/21 00:00:00+00,15656,-93.31108599,44.98209995,-10387342,5618703,Harrison,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,43
-93.27972061,44.97502792,0011XX HENNEPIN AVE ,MP202075287         ,1,2020/03/21 00:00:00+00,1156,2020/03/20 00:00:00+00,2020/03/21 11:56:00+00,2300,BURGD   ,BURGLARY OF DWELLING          ,6,2020/03/21 00:00:00+00,16665,-93.27972343,44.97503415,-10383851,5617591,Downtown West,2020/03/21 00:00:00+00,2020/07/15 07:00:22+00,44
-93.28184962,44.96932737,0013XX WILLOW ST ,MP202075379         ,1,2020/03/21 00:00:00+00,1519,2020/03/21 00:00:00+00,2020/03/21 15:19:00+00,1345,ROBPER  ,ROBBERY OF PERSON             ,4,2020/03/22 00:00:00+00,17268,-93.28185409,44.96932975,-10384088,5616694,Loring Park,2020/03/23 00:00:00+00,2020/07/15 07:00:22+00,45
-93.27150103,44.97927278,00001X 5TH ST S,MP202075398         ,1,2020/03/21 00:00:00+00,1423,2020/03/21 00:00:00+00,2020/03/21 14:23:00+00,1350,THEFT   ,OTHER THEFT                   ,7,2020/03/22 00:00:00+00,25831,-93.27150683,44.9792772,-10382936,5618259,Downtown West,2020/03/22 00:00:00+00,2020/07/15 07:00:22+00,46
-93.24724652,44.97075733,0003XX CEDAR AVE S,MP202075412         ,1,2020/03/21 00:00:00+00,1522,2020/03/21 00:00:00+00,2020/03/21 15:22:00+00,1455,THEFT   ,OTHER THEFT                   ,7,2020/03/22 00:00:00+00,20344,-93.24725145,44.97076328,-10380236,5616919,CEDAR RSIDE/WEST BANK,2020/03/22 00:00:00+00,2020/07/15 07:00:22+00,47
-93.22241708,44.97392217,0024XX UNIVERSITY AVE SE,MP202075431         ,2,2020/03/21 00:00:00+00,1649,2020/03/21 00:00:00+00,2020/03/21 16:49:00+00,1630,AUTOTH  ,AUTOMOBILE THEFT              ,8,2020/03/21 00:00:00+00,25879,-93.22241805,44.97392386,-10377472,5617417,PROSPECT PK/E RIVER RD,2020/03/22 00:00:00+00,2020/07/15 07:00:22+00,48
-93.23514621,44.94836963,0025XX LAKE ST E,MP202075530         ,3,2020/03/21 00:00:00+00,1742,2020/03/21 00:00:00+00,2020/03/21 17:42:00+00,1742,SHOPLF  ,SHOPLIFTING                   ,7,2020/03/22 00:00:00+00,19097,-93.23514707,44.94837171,-10378889,5613397,Longfellow,2020/03/22 00:00:00+00,2020/07/15 07:00:22+00,49
-93.30577176,45.02315815,0037XX NEWTON AVE N,MP202075622         ,4,2020/03/21 00:00:00+00,2002,2020/03/21 00:00:00+00,2020/03/21 20:02:00+00,100,AUTOTH  ,AUTOMOBILE THEFT              ,8,2020/03/22 00:00:00+00,10242,-93.30577187,45.02316048,-10386751,5625168,Folwell,2020/03/22 00:00:00+00,2020/07/15 07:00:22+00,50
-93.26615605,44.98081051,0001XX WASHINGTON AVE S,MP202075625         ,1,2020/03/21 00:00:00+00,2258,2020/03/21 00:00:00+00,2020/03/21 22:58:00+00,1935,BURGB   ,BURGLARY OF BUSINESS          ,6,2020/03/22 00:00:00+00,15469,-93.26615711,44.98081359,-10382341,5618501,Downtown West,2020/03/22 00:00:00+00,2020/07/15 07:00:22+00,51
-93.23853286,44.9627491,0023XX FRANKLIN AVE E,MP202075626         ,3,2020/03/21 00:00:00+00,2007,2020/02/21 00:00:00+00,2020/03/21 20:07:00+00,0,TMVP    ,THEFT-MOTR VEH PARTS          ,7,2020/03/22 00:00:00+00,18338,-93.23854144,44.96275233,-10379266,5615659,Seward,2020/03/23 00:00:00+00,2020/07/15 07:00:22+00,52
-93.24644702,44.96987393,0018XX RIVERSIDE AVE ,MP202075796         ,1,2020/03/22 00:00:00+00,14,2020/03/21 00:00:00+00,2020/03/22 00:14:00+00,2230,BURGB   ,BURGLARY OF BUSINESS          ,6,2020/03/22 00:00:00+00,22618,-93.24645242,44.96987437,-10380147,5616780,CEDAR RSIDE/WEST BANK,2020/03/22 00:00:00+00,2020/07/15 07:00:22+00,53
-93.30317563,45.01951978,0035XX LOGAN AVE N,MP202075908         ,4,2020/03/22 00:00:00+00,35,2020/03/22 00:00:00+00,2020/03/22 00:35:00+00,35,AUTOTH  ,AUTOMOBILE THEFT              ,8,2020/03/22 00:00:00+00,10452,-93.30318241,45.01952364,-10386462,5624595,Folwell,2020/03/22 00:00:00+00,2020/07/15 07:00:22+00,54
-93.29437214,44.96001588,0022XX EMERSON AVE S,MP202075956         ,5,2020/03/22 00:00:00+00,219,2020/03/21 00:00:00+00,2020/03/22 02:19:00+00,1700,BURGD   ,BURGLARY OF DWELLING          ,6,2020/03/22 00:00:00+00,21965,-93.29437459,44.96002151,-10385482,5615229,East Isles,2020/03/23 00:00:00+00,2020/07/15 07:00:22+00,55
-93.28492186,44.94835691,0004XX LAKE ST W,MP202075986         ,5,2020/03/22 00:00:00+00,332,2020/03/22 00:00:00+00,2020/03/22 03:32:00+00,230,BURGB   ,BURGLARY OF BUSINESS          ,6,2020/03/22 00:00:00+00,19782,-93.28492292,44.94836055,-10384430,5613395,Whittier,2020/03/22 00:00:00+00,2020/07/15 07:00:22+00,56
-93.2116373,45.0022836,0013XX INDUSTRIAL BLVD ,MP202027605         ,2,2020/01/31 00:00:00+00,1515,2019/12/19 00:00:00+00,2020/01/31 15:15:00+00,2300,CSCR    ,CSC - RAPE                    ,3,2020/02/03 00:00:00+00,25819,-93.21164432,45.00228657,-10376272,5621881,MID CITY INDUSTRIAL AR,2020/02/18 00:00:00+00,2020/07/15 07:00:22+00,57
-93.234724,44.95107798,0028XX 26TH AVE S,MP2020143197        ,3,2020/05/28 00:00:00+00,140,2020/05/27 00:00:00+00,2020/05/28 01:40:00+00,140,ASLT2   ,ASSLT W/DNGRS WEAPON          ,5,2020/05/28 00:00:00+00,19096,-93.2347243,44.95108135,-10378842,5613823,Longfellow,2020/07/13 00:00:00+00,2020/07/15 07:00:21+00,58
-93.2403205,44.98165561,0003XX 11TH AVE SE,MP2020179610        ,2,2020/07/08 00:00:00+00,1841,2020/07/07 00:00:00+00,2020/07/08 18:41:00+00,1500,BURGD   ,BURGLARY OF DWELLING          ,6,2020/07/13 00:00:00+00,17809,-93.24032152,44.98165876,-10379465,5618634,MARCY-HOLMES,2020/07/13 00:00:00+00,2020/07/15 07:00:22+00,59
-93.25747833,44.9242241,0043XX 12TH AVE S,MP2020180555        ,3,2020/07/09 00:00:00+00,1750,2020/07/09 00:00:00+00,2020/07/09 17:50:00+00,0,TFMV    ,THEFT FROM MOTR VEHC          ,7,2020/07/13 00:00:00+00,20717,-93.25747956,44.92422449,-10381375,5609600,Northrop,2020/07/13 00:00:00+00,2020/07/15 07:00:22+00,60
-93.28128368,44.95732067,,MP2020180937        ,5,2020/07/09 00:00:00+00,2343,2020/07/09 00:00:00+00,2020/07/09 23:43:00+00,1900,ROBPER  ,ROBBERY OF PERSON             ,4,2020/07/10 00:00:00+00,,-93.28129,44.95733,-10384025,5614805,Whittier,2020/07/13 00:00:00+00,2020/07/15 07:00:22+00,61
-93.27950502,44.97792565,0010XX CURRIE AVE ,MP2020181345        ,1,2020/07/10 00:00:00+00,2052,2020/07/10 00:00:00+00,2020/07/10 20:52:00+00,1404,THEFT   ,OTHER THEFT                   ,7,2020/07/13 00:00:00+00,16666,-93.2795086,44.97792701,-10383827,5618047,Downtown West,2020/07/13 00:00:00+00,2020/07/15 07:00:21+00,62
-93.27736703,44.97310874,0011XX LASALLE AVE ,MP2020181387        ,1,2020/07/10 00:00:00+00,1940,2020/07/08 00:00:00+00,2020/07/10 19:40:00+00,2200,THEFT   ,OTHER THEFT                   ,7,2020/07/13 00:00:00+00,17093,-93.27736856,44.97311213,-10383589,5617289,Downtown West,2020/07/13 00:00:00+00,2020/07/15 07:00:22+00,63
-93.24730041,44.91789511,,MP2020181475        ,3,2020/07/10 00:00:00+00,2116,2020/07/09 00:00:00+00,2020/07/10 21:16:00+00,2300,ASLT2   ,ASSLT W/DNGRS WEAPON          ,5,2020/07/12 00:00:00+00,,-93.24731,44.9179,-10380242,5608605,Ericsson,2020/07/13 00:00:00+00,2020/07/15 07:00:21+00,64
-93.2925755,44.99827548,0018XX DUPONT AVE N,MP2020181540        ,4,2020/07/13 00:00:00+00,706,2020/07/09 00:00:00+00,2020/07/13 07:06:00+00,1,BURGD   ,BURGLARY OF DWELLING          ,6,2020/07/13 00:00:00+00,16118,-93.29258419,44.99827888,-10385282,5621250,Near - North,2020/07/13 00:00:00+00,2020/07/15 07:00:22+00,65
-93.24547683,44.94473923,0018XX 32ND ST E,MP2020181581        ,3,2020/07/10 00:00:00+00,1957,2020/07/10 00:00:00+00,2020/07/10 19:57:00+00,1910,ROBPER  ,ROBBERY OF PERSON             ,4,2020/07/10 00:00:00+00,13242,-93.24548389,44.94474398,-10380039,5612826,Corcoran,2020/07/13 00:00:00+00,2020/07/15 07:00:22+00,66
-93.26892286,44.94047274,0034XX 5TH AVE S,MP2020181660        ,3,2020/07/13 00:00:00+00,1002,2020/07/10 00:00:00+00,2020/07/13 10:02:00+00,1537,THFTSW  ,THEFT BY SWINDLE              ,7,2020/07/13 00:00:00+00,19535,-93.26892319,44.94047525,-10382649,5612155,Central,2020/07/13 00:00:00+00,2020/07/15 07:00:22+00,67
-93.29182092,45.02123422,0036XX COLFAX AVE N,MP2020181841        ,4,2020/07/10 00:00:00+00,2130,2020/07/10 00:00:00+00,2020/07/10 21:30:00+00,2130,AUTOTH  ,AUTOMOBILE THEFT              ,8,2020/07/12 00:00:00+00,22368,-93.29182253,45.02123913,-10385198,5624865,McKinley,2020/07/13 00:00:00+00,2020/07/15 07:00:22+00,68
-93.2191023,44.95106526,0028XX 37TH AVE S,MP2020181948        ,3,2020/07/11 00:00:00+00,411,2020/07/11 00:00:00+00,2020/07/11 04:11:00+00,411,AUTOTH  ,AUTOMOBILE THEFT              ,8,2020/07/12 00:00:00+00,20326,-93.21911104,44.95106633,-10377103,5613821,Longfellow,2020/07/13 00:00:00+00,2020/07/15 07:00:21+00,69
-93.22359387,44.90536865,0033XX 54TH ST E,MP2020181961        ,3,2020/07/11 00:00:00+00,849,2020/07/11 00:00:00+00,2020/07/11 08:49:00+00,336,BURGB   ,BURGLARY OF BUSINESS          ,6,2020/07/13 00:00:00+00,21484,-93.22360175,44.9053735,-10377603,5606636,Wenonah,2020/07/13 00:00:00+00,2020/07/15 07:00:21+00,70
-93.27703465,44.98284381,0003XX 5TH ST N,MP2020182089        ,1,2020/07/11 00:00:00+00,1351,2020/07/09 00:00:00+00,2020/07/11 13:51:00+00,1800,ROBPAG  ,ROBBERY PER AGG               ,4,2020/07/12 00:00:00+00,25933,-93.27704361,44.98284911,-10383552,5618821,North Loop,2020/07/13 00:00:00+00,2020/07/15 07:00:22+00,71
-93.24739923,44.95006713,,MP2020182434        ,3,2020/07/11 00:00:00+00,2111,2020/07/11 00:00:00+00,2020/07/11 21:11:00+00,2100,THEFT   ,OTHER THEFT                   ,7,2020/07/12 00:00:00+00,,-93.2474,44.95007,-10380253,5613664,East Phillips,2020/07/14 00:00:00+00,2020/07/15 07:00:21+00,72
